ticker,company_name,report_period_end,publish_date,report_type,accounting_standard,language,source_name,source_url,local_path
TCK03,TCK03,2024-12-31,2025-04-10,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK03,TCK03,2025-03-31,2025-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK03,TCK03,2025-06-30,2025-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK04,TCK04,2023-09-30,2023-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK04,TCK04,2023-12-31,2024-04-09,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK04,TCK04,2024-03-31,2024-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK04,TCK04,2024-06-30,2024-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK04,TCK04,2024-09-30,2024-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK04,TCK04,2024-12-31,2025-04-10,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK04,TCK04,2025-03-31,2025-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK04,TCK04,2025-06-30,2025-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK05,TCK05,2023-09-30,2023-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK05,TCK05,2023-12-31,2024-04-09,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK05,TCK05,2024-03-31,2024-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK05,TCK05,2024-06-30,2024-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK05,TCK05,2024-09-30,2024-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK05,TCK05,2024-12-31,2025-04-10,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK05,TCK05,2025-03-31,2025-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK05,TCK05,2025-06-30,2025-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK06,TCK06,2023-09-30,2023-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK06,TCK06,2023-12-31,2024-04-09,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK06,TCK06,2024-03-31,2024-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK06,TCK06,2024-06-30,2024-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK06,TCK06,2024-09-30,2024-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK06,TCK06,2024-12-31,2025-04-10,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK06,TCK06,2025-03-31,2025-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK06,TCK06,2025-06-30,2025-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK07,TCK07,2023-09-30,2023-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK07,TCK07,2023-12-31,2024-04-09,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK07,TCK07,2024-03-31,2024-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK07,TCK07,2024-06-30,2024-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK07,TCK07,2024-09-30,2024-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK07,TCK07,2024-12-31,2025-04-10,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK07,TCK07,2025-03-31,2025-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK07,TCK07,2025-06-30,2025-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK08,TCK08,2023-09-30,2023-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK08,TCK08,2023-12-31,2024-04-09,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK08,TCK08,2024-03-31,2024-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK08,TCK08,2024-06-30,2024-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK08,TCK08,2024-09-30,2024-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK08,TCK08,2024-12-31,2025-04-10,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK08,TCK08,2025-03-31,2025-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK08,TCK08,2025-06-30,2025-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK09,TCK09,2023-09-30,2023-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK09,TCK09,2023-12-31,2024-04-09,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK09,TCK09,2024-03-31,2024-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK09,TCK09,2024-06-30,2024-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK09,TCK09,2024-09-30,2024-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK09,TCK09,2024-12-31,2025-04-10,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK09,TCK09,2025-03-31,2025-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK09,TCK09,2025-06-30,2025-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK10,TCK10,2023-09-30,2023-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK10,TCK10,2023-12-31,2024-04-09,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK10,TCK10,2024-03-31,2024-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK10,TCK10,2024-06-30,2024-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK10,TCK10,2024-09-30,2024-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK10,TCK10,2024-12-31,2025-04-10,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK10,TCK10,2025-03-31,2025-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK10,TCK10,2025-06-30,2025-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK11,TCK11,2023-09-30,2023-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK11,TCK11,2023-12-31,2024-04-09,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK11,TCK11,2024-03-31,2024-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK11,TCK11,2024-06-30,2024-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK11,TCK11,2024-09-30,2024-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK11,TCK11,2024-12-31,2025-04-10,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK11,TCK11,2025-03-31,2025-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK11,TCK11,2025-06-30,2025-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK12,TCK12,2023-09-30,2023-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK12,TCK12,2023-12-31,2024-04-09,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK12,TCK12,2024-03-31,2024-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK12,TCK12,2024-06-30,2024-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK12,TCK12,2024-09-30,2024-11-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK12,TCK12,2024-12-31,2025-04-10,synthetic_ifrs_annual,IFRS,ru,synthetic_demo,,
TCK12,TCK12,2025-03-31,2025-05-15,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
TCK12,TCK12,2025-06-30,2025-08-14,synthetic_ifrs_interim,IFRS,ru,synthetic_demo,,
